# Input file: /home/rlomba/cupy/pictures/salr.jpg
# std_scale: 1.0
# min_pts: 5
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
29 16 463.375000 43.500000 2.781075 80.875412 42.874588 1.886325
30 286 904.842651 56.206295 8.251033 9911.764648 9558.983398 1.036906
31 95 318.778961 62.905262 5.280057 1453.596436 1194.908813 1.216491
32 165 621.363647 52.824242 6.384681 3615.580811 3110.503906 1.162378
33 272 1026.191162 77.746323 7.867364 9089.137695 7746.417480 1.173334
34 191 520.753906 72.282722 6.843106 4531.185059 4412.982422 1.026785
35 254 716.173218 74.543304 7.649662 7470.637695 7392.763672 1.010534
36 170 33.676472 102.076469 6.528315 3686.191650 3559.020020 1.035732
37 303 771.498352 74.330032 8.495533 11457.080078 10411.666016 1.100408
38 211 665.227478 75.492889 7.038089 5521.486328 4930.333496 1.119901
39 225 176.662216 107.102219 7.479447 6588.608398 5998.369629 1.098400
40 367 970.171692 75.326973 9.133128 15503.328125 15109.620117 1.026057
41 328 127.070122 89.085365 8.906869 13281.968750 12739.028320 1.042620
42 204 926.882324 108.813728 6.933189 5026.871094 4779.227051 1.051817
43 260 430.084625 85.273079 7.965249 8578.575195 7917.174805 1.083540
44 313 377.089447 90.725243 8.598585 11849.633789 11292.231445 1.049362
45 270 275.688904 97.744446 8.124319 9050.464844 8770.768555 1.031889
46 251 619.780884 105.163345 7.642733 7675.556152 6985.694824 1.098753
47 171 859.239746 84.157898 6.209739 3522.893066 3071.013428 1.147143
48 240 326.174988 109.616669 7.706973 7268.679688 6986.703613 1.040359
49 221 815.628967 115.868782 7.191237 5837.161621 5591.607910 1.043915
50 167 433.317352 136.431137 6.409731 3494.511475 3366.626221 1.037986
51 44 480.068176 87.727272 3.647922 330.399445 255.123276 1.295058
52 162 227.814819 126.851852 6.683723 3833.336182 3403.552734 1.126275
53 286 674.671326 133.933563 8.325721 10377.841797 9447.000977 1.098533
54 272 983.283081 129.922791 7.837171 8658.607422 8047.973145 1.075874
55 254 380.523621 147.358261 8.204990 9642.671875 7457.083984 1.293089
56 274 837.244507 167.102188 8.096534 9476.617188 8485.137695 1.116849
57 224 81.040176 124.513390 7.692935 7167.287598 6089.311035 1.177028
58 227 136.140976 147.955948 7.662785 7221.611328 6107.437012 1.182429
59 167 1054.329346 124.514969 6.221750 3484.972168 2979.626465 1.169600
60 281 727.651245 134.654800 8.190641 9858.243164 8993.094727 1.096201
61 211 478.606628 152.227493 7.196442 5662.691895 5264.739258 1.075588
62 15 767.066650 119.933334 2.420285 49.950348 37.916321 1.317384
63 185 516.659485 120.637840 6.738466 4281.044434 4119.236328 1.039281
64 281 884.274048 136.797150 8.214070 10033.802734 8925.535156 1.124168
65 163 579.024536 136.779144 6.618412 3769.594971 3370.355957 1.118456
66 130 4.300000 148.784622 6.382228 4116.583496 1178.685669 3.492520
67 228 1031.228027 170.021927 7.496500 6633.325684 6179.704590 1.073405
68 222 627.432434 155.013519 7.412992 6322.056641 5877.389160 1.075657
69 301 102.302322 188.850494 8.808740 12069.795898 11285.964844 1.069452
70 282 928.106384 164.769501 7.981989 9148.310547 8818.515625 1.037398
71 229 181.956329 174.157211 7.615172 6784.374023 6495.529785 1.044468
72 247 330.161957 166.647766 7.755337 7732.137207 7123.741211 1.085404
73 259 287.208496 204.239380 8.057203 8755.905273 8057.994629 1.086611
74 281 48.548042 165.398575 8.360422 10176.587891 9464.373047 1.075252
75 197 741.573608 183.675125 6.881665 4722.131836 4607.258789 1.024933
76 266 498.864655 202.293228 7.868815 9060.362305 7409.893066 1.222739
77 222 546.310791 172.963959 7.080383 5732.616699 5396.649414 1.062255
78 209 784.464111 155.555023 7.250012 5862.789551 5122.808594 1.144448
79 287 277.142853 152.383270 8.462046 10941.620117 9609.362305 1.138642
80 253 235.114624 191.320160 7.859121 8301.214844 7325.528320 1.133190
81 153 1077.496704 200.196075 6.556126 5076.209961 1500.156128 3.383788
82 238 12.621849 204.243698 7.800515 7578.103027 6903.729004 1.097683
83 205 594.560974 191.117081 7.014159 5401.334961 4684.342773 1.153062
84 280 443.774994 191.635712 8.127921 9588.947266 8908.720703 1.076355
85 364 978.769226 187.398346 9.165130 15795.050781 14780.803711 1.068619
