# Input file: /home/rlomba/cupy/pictures/run.nc
# std_scale: 1.0
# min_pts: 5
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
27 304 147.472931 2684.086914 29.852932 142556.203125 128367.867188 1.110529
28 330 1436.412231 4109.557617 30.416491 159563.468750 145740.265625 1.094848
29 310 434.755951 463.348236 29.528738 138715.859375 131587.500000 1.054172
30 313 1151.548584 4417.012207 30.169621 152413.421875 132481.062500 1.150454
31 222 1499.243896 296.878052 27.466139 86668.007812 80806.296875 1.072540
32 268 1161.054810 1906.734741 27.782825 106727.953125 100137.328125 1.065816
33 324 2441.067871 321.470306 30.549179 156792.078125 145581.656250 1.077004
34 307 3378.095215 798.094543 29.394482 139059.640625 126199.273438 1.101905
35 364 578.255615 4337.626465 31.869434 194711.671875 174988.859375 1.112709
36 303 187.586533 4087.285889 29.729992 139071.109375 128742.226562 1.080229
37 238 675.139221 3101.347168 27.530361 102734.578125 77650.554688 1.323037
38 431 1583.669800 3723.446533 33.212421 251639.109375 223781.906250 1.124484
39 437 4046.228516 4251.987793 33.633408 270834.000000 223503.046875 1.211769
40 323 952.346680 3702.020752 30.091705 149815.125000 142664.828125 1.050120
41 214 24.510700 403.156158 26.054413 96656.531250 48613.617188 1.988260
42 369 799.668335 4398.251953 31.498243 190566.875000 175532.546875 1.085650
43 438 345.023163 630.921692 33.513252 254163.437500 237771.000000 1.068942
44 262 4429.600098 587.252319 28.150465 112417.031250 95204.515625 1.180795
45 352 1176.544067 497.013092 30.604263 175287.421875 154403.156250 1.135258
46 93 732.846375 2957.982910 20.292324 21000.035156 17295.359375 1.214201
47 322 366.454468 254.137253 30.348507 150332.796875 146239.468750 1.027991
48 380 478.752228 3838.191895 31.941534 203197.203125 184502.203125 1.101327
49 311 281.232880 835.087769 30.129093 155173.843750 127140.195312 1.220494
50 247 1218.566406 660.841309 27.316553 103733.773438 80576.171875 1.287400
51 290 1641.885620 3544.371094 29.006514 126719.601562 117279.976562 1.080488
52 160 4151.395508 1024.938599 23.531704 45601.078125 42997.492188 1.060552
53 305 1842.957153 3700.796387 29.538616 140007.140625 126114.460938 1.110159
54 331 822.542358 931.996277 30.389784 159241.687500 146449.703125 1.087347
55 326 1075.669556 811.447754 30.657608 153677.312500 152726.468750 1.006226
56 299 4434.923828 779.010376 29.125072 143469.390625 110163.304688 1.302334
57 371 1441.718140 960.270813 31.890072 202606.343750 174692.000000 1.159792
58 276 3269.204590 230.824844 29.019543 127567.390625 104861.562500 1.216532
59 318 569.017517 3230.553711 29.815231 153550.781250 129134.671875 1.189075
60 262 785.677979 608.880859 27.658798 106954.375000 93478.015625 1.144166
61 253 696.298706 1058.217285 28.071545 105471.523438 93895.398438 1.123287
62 417 1101.533325 130.840851 33.233742 243418.703125 217150.125000 1.120970
63 313 1414.365967 3649.858643 29.890776 147811.250000 131841.265625 1.121130
64 347 1172.530640 2911.496094 31.042850 174519.515625 159870.031250 1.091634
65 279 4189.003418 844.241760 29.059565 130618.773438 104985.093750 1.244165
66 326 2047.379883 231.988846 30.106617 152080.000000 143409.140625 1.060462
67 359 478.336365 769.789001 31.274046 182987.500000 168138.156250 1.088316
68 243 2166.299072 362.769958 26.972317 92330.000000 84453.921875 1.093259
69 298 883.135376 75.947502 29.528749 134970.031250 124870.179688 1.080883
70 301 3665.843994 4437.753418 28.882122 138348.796875 112738.460938 1.227166
71 316 638.441650 33.285652 28.951887 152931.250000 111943.687500 1.366145
72 319 572.428650 345.276062 29.991550 147815.671875 139122.625000 1.062485
73 365 1210.843994 3618.554199 31.909962 194993.875000 176665.796875 1.103744
74 223 773.271240 4084.754395 26.570225 84084.187500 73348.656250 1.146363
75 392 517.257874 179.137009 32.446472 209601.187500 203086.046875 1.032081
76 255 1918.164673 1131.062378 27.807388 105690.289062 91488.687500 1.155228
77 327 2007.126709 3683.072754 30.496935 158357.937500 145772.703125 1.086335
78 315 2202.581787 1080.685303 29.793634 142771.265625 136841.843750 1.043330
79 380 594.785095 3681.437256 32.409576 214896.546875 184248.078125 1.166344
80 318 4069.346924 480.911865 30.095554 152812.265625 135213.828125 1.130153
81 212 61.140537 21.983608 26.396994 104591.718750 43130.152344 2.425025
82 301 1989.654053 3503.689453 29.269255 139755.875000 118107.585938 1.183293
83 309 1090.872559 329.167267 30.412636 164370.531250 121432.359375 1.353598
84 290 967.287170 4388.802246 29.016804 127365.062500 116807.648438 1.090383
85 431 797.748352 3588.015137 33.211243 253467.765625 221919.437500 1.142161
86 396 1307.082153 4266.146973 32.257366 214356.000000 197696.906250 1.084266
87 334 1215.836548 4096.635742 30.431326 165407.562500 143898.343750 1.149475
88 317 1026.198486 3246.015625 29.988977 146873.468750 138216.906250 1.062630
89 276 1014.664978 986.089783 29.105022 124147.757812 109652.500000 1.132193
90 316 1258.569824 3882.604492 30.305618 145782.734375 144441.328125 1.009287
